tar,user_id,sku_id,view_dauer,view_times,cate,brand,market_time,shop_id,fans_num,vip_num,shop_reg_tm,shop_score,age,sex,user_reg_tm,user_lv_cd,city_level,province,city,county
0,42039,108766,1,1,27,4967,-50051378,105,24054,66212,-51963120,9.298661,1,0,-70504895,5,3,11,348,688
0,8520,196972,1,1,7,8567,-92044580,3568,,,,,5,0,-27781026,5,5,31,277,1271
0,3151,207926,1,1,7,3006,-47110260,4221,89607,26668,-52728158,9.41652,5,1,-63686011,7,5,8,351,2326
0,19672,43684,1,1,7,5706,-226228344,6417,,,,,6,0,-180627061,7,4,17,191,34
0,34256,107331,1,1,55,2777,-30357418,1634,178574,371414,-124530570,9.427139,5,1,-130664577,7,4,17,191,277
0,35372,78645,1,1,7,9014,-29152913,6118,65276,74610,-116055242,9.404896,6,0,-195448674,7,5,29,219,2577
0,28620,370201,1,1,70,4416,-48921153,9051,,,,,6,0,-4793545,1,3,23,204,1991
0,17988,355976,1,1,7,7163,-16376404,5330,,,,,1,0,-113142468,7,5,30,231,2240
0,21519,1106,1,1,,,,,,,,,5,1,-164708630,7,4,14,331,418
0,11046,13653,1,1,7,8567,-132393719,9878,14531,15396,-133791770,9.656937,5,0,-15557803,6,5,14,33,2770
0,31740,49621,1,1,28,11114,-88752377,4303,326523,752742,-88861681,9.631294,5,1,-13343666,6,2,5,366,1006
0,15044,10915,1,1,7,10732,-16954286,8411,,,,,1,0,-57474032,1,5,7,251,1558
0,18507,188640,1,2,7,8890,-82298741,5849,9070,117326,-84711722,9.074796,6,1,-202987341,7,4,8,103,480
0,5097,213691,1,1,7,7163,-14359875,8952,,,,,6,0,-27488717,1,5,27,94,308
0,6312,230459,1,1,7,3292,-241090162,1107,,,,,5,0,-103783444,1,5,16,269,1966
0,15532,361018,1,1,73,7446,-48265580,2714,,,,,6,0,-93093468,7,4,3,82,2136
0,27346,281779,1,1,81,265,-5491915,4222,32753,43652,-5570100,9.65563,1,0,-207647954,7,4,1,41,370
0,16531,203964,3,3,20,1472,-10736979,5143,,,,,6,1,-241857415,7,3,11,348,1388
0,3970,296763,1,1,9,2484,-75202485,4178,,,,,1,1,1419803,6,3,11,348,2136
